"","grp_id"
"101",2
"102",2
"105",2
"106",4
"107",2
"108",2
"109",4
"110",4
"112",1
"113",1
"116",2
"117",4
"119",2
"11",3
"123",2
"124",1
"126",2
"129",2
"12",3
"143",2
"145",2
"149",2
"150",2
"156",2
"159",4
"162",4
"163",2
"166",2
"167",2
"168",2
"16",3
"170",2
"173",2
"179",2
"180",4
"181",2
"182",2
"186",4
"18",3
"190",2
"19",3
"21",3
"22",3
"24",3
"25",3
"29",3
"30",3
"34",3
"36",3
"37",3
"39",3
"40",3
"49",3
"51",3
"52",3
"53",3
"54",3
"56",3
"57",3
"58",3
"5",3
"61",3
"62",3
"63",3
"66",3
"67",3
"68",3
"69",3
"6",3
"70",3
"71",3
"72",3
"76",3
"8",3
"92",3
"93",3
