"mod","tr","cor","pv"
"MEdarkorange","AReacDist_cm","0.316140374474064","0.005"
"MEdarkorange","VResp_dist_cm","0.326570688393137","0.004"
"MEdarkorange","RDistanceMoved_cm","-0.305550304321628","0.007"
"MEdarkorange","RMeanSpeed","-0.305174797158969","0.007"
"MEdarkorange","RMeanMeander","-0.281546541498623","0.01"
"MEfloralwhite","RDistanceMoved_cm","-0.347687660028027","0.002"
"MEfloralwhite","RMeanSpeed","-0.345629565438416","0.002"
"MEfloralwhite","Time_from_Last_min","0.444043611701193","6e-05"
"MEgreen","At2mxaccel","0.304216058687319","0.008"
"MEgreen","RDistanceMoved_cm","-0.336089378631727","0.003"
"MEgreen","RMeanSpeed","-0.346684306383897","0.002"
"MElightsteelblue1","At2mxspd_s","-0.328453795015811","0.004"
"MEgreenyellow","VResp_dist_cm","-0.469451428809777","2e-05"
"MEplum1","At2mxspd_s","-0.279685503161814","0.01"
"MEred","ALatency_ms","0.298369534338992","0.009"
"MEred","At2mxaccel","0.339484890528328","0.003"
"MEdarkgrey","ALatency_ms","0.427498370512873","1e-04"
"MEdarkgrey","At2mxaccel","-0.408549173591039","2e-04"
"MElightcyan1","ALatency_ms","0.283230682852214","0.01"
"MElightcyan1","VMeanMeander","0.347887226490436","0.002"
"MEmidnightblue","VMeanMeander","0.418325926990196","2e-04"
"MEmidnightblue","Time_from_Last_min","-0.32461877709189","0.004"
"MEbrown4","AReacDist_cm","-0.491528068365262","7e-06"
"MEbrown4","Aresp_dur_s","0.297778529422844","0.009"
"MEbrown4","VResp_spd_mms","0.307196711933382","0.007"
"MEbrown4","VMeanAngSpd","-0.357285419200761","0.002"
"MEbrown4","VMeanMobility","0.313775369481167","0.006"
"MEblack","VResp_spd_mms","0.293474538330117","0.01"
"MEblack","Time_from_Last_min","0.691872965636073","4e-12"
"MEblue","ALatency_ms","0.487095605071466","8e-06"
"MEblue","Time_from_Last_min","0.581755042331296","4e-08"
"MEdarkmagenta","AResp_MX_spd","-0.316949785706392","0.005"
"MEsaddlebrown","AReacDist_cm","-0.280077173215791","0.01"
"MEsaddlebrown","AResp_MX_spd","-0.300110092874191","0.008"
"MEdarkgreen","AResp_MX_spd","-0.46558172766618","2e-05"
"MEdarkgreen","Aresp_dur_s","-0.328152193800064","0.004"
"MEdarkgreen","At2mxaccel","0.425252887847536","1e-04"
"MEdarkgreen","VMeanMeander","-0.373695829431353","9e-04"
"MEorangered4","AResp_MX_spd","-0.342520423601979","0.002"
"MEorangered4","Aresp_dur_s","-0.395855561287863","4e-04"
"MEorangered4","Time_from_Last_min","0.301157622541046","0.008"
"MEskyblue","Aresp_dur_s","-0.376997040418807","8e-04"
"MEbrown","ALatency_ms","-0.544993152365168","4e-07"
"MEbrown","VResp_spd_mms","-0.281316955245533","0.01"
"MEbrown","Time_from_Last_min","-0.70694067591745","1e-12"
"MEivory","AResp_dist_cm","0.324062259494633","0.004"
"MEcyan","AReacDist_cm","0.450141999382087","5e-05"
"MEcyan","Amx_accel","0.39072063723158","5e-04"
"MEcyan","VResp_spd_mms","0.322456445946945","0.004"
"MEdarkred","At2mxaccel","-0.362763894774192","0.001"
"MEdarkred","RDistanceMoved_cm","0.348590795134062","0.002"
"MEdarkred","RMeanSpeed","0.373436974907949","9e-04"
