gene,Fish_kME
isogroup10,0
isogroup10003,0
isogroup10006,0
isogroup1001,0
isogroup10010,0
isogroup10014,0
isogroup10015,0
isogroup10020,0
isogroup10022,0
isogroup10023,0
isogroup10027,0
isogroup10031,0
isogroup10033,0
isogroup10041,0
isogroup10045,0
isogroup10050,0
isogroup10053,0
isogroup10054,0
isogroup10057,0
isogroup1006,0
isogroup10061,0
isogroup10062,0
isogroup10066,0
isogroup10067,0
isogroup10075,0
isogroup10079,0
isogroup10084,0
isogroup1009,0
isogroup10090,0
isogroup10093,0
isogroup10096,0
isogroup10100,0
isogroup10101,0
isogroup10106,0
isogroup10108,0
isogroup10109,0
isogroup10112,0
isogroup10116,0
isogroup10122,0
isogroup10123,0
isogroup10129,0
isogroup1013,0
isogroup10130,0
isogroup10139,0
isogroup10144,0
isogroup10146,0
isogroup10150,0
isogroup10151,0
isogroup10154,0
isogroup10159,0
isogroup10162,0
isogroup10167,0
isogroup1017,0
isogroup10174,0
isogroup10175,0
isogroup10179,0
isogroup10181,0
isogroup10184,0
isogroup10187,0
isogroup10188,0
isogroup1019,0
isogroup10190,0
isogroup10191,0
isogroup10192,0
isogroup10193,0
isogroup10194,0
isogroup10195,0
isogroup10198,0
isogroup10204,0
isogroup10205,0
isogroup10206,0
isogroup10207,0
isogroup10208,0
isogroup10210,0
isogroup10212,0
isogroup10214,0
isogroup10217,0
isogroup10218,0
isogroup10219,0
isogroup10222,0
isogroup10224,0
isogroup10227,0
isogroup10232,0
isogroup10234,0
isogroup10235,0
isogroup10239,0
isogroup10241,0
isogroup10245,0
isogroup10247,0
isogroup10248,0
isogroup10249,0
isogroup10251,0
isogroup10252,0
isogroup10253,0
isogroup10254,0
isogroup10258,0
isogroup1026,0
isogroup10261,0
isogroup10263,0
isogroup10266,0
isogroup10268,0
isogroup1027,0
isogroup10270,0
isogroup10271,0
isogroup10273,0
isogroup10274,0
isogroup10275,0
isogroup10276,0
isogroup10277,0
isogroup10278,0
isogroup10283,0
isogroup10284,0
isogroup10285,0
isogroup10287,0
isogroup10289,0
isogroup10293,0
isogroup1030,0
isogroup10300,0
isogroup10302,0
isogroup10303,0
isogroup10304,0
isogroup10308,0
isogroup10309,0
isogroup10310,0
isogroup10312,0
isogroup10315,0
isogroup10318,0
isogroup10319,0
isogroup1032,0
isogroup10320,0
isogroup10323,0
isogroup10325,0
isogroup10326,0
isogroup10329,0
isogroup10330,0
isogroup10331,0
isogroup10334,0
isogroup10338,0
isogroup10342,0
isogroup10344,0
isogroup10345,0
isogroup10349,0
isogroup10350,0
isogroup10354,0
isogroup10355,0
isogroup10358,0
isogroup10360,0
isogroup10361,0
isogroup10363,0
isogroup10364,0
isogroup10365,0
isogroup10366,0
isogroup10368,0
isogroup10375,0
isogroup10377,0
isogroup10378,0
isogroup10379,0
isogroup10380,0
isogroup10382,0
isogroup10384,0
isogroup10385,0
isogroup10386,0
isogroup10389,0
isogroup10390,0
isogroup10391,0
isogroup10392,0
isogroup10393,0.488311131375253
isogroup10394,0
isogroup10395,0
isogroup10396,0
isogroup10397,0
isogroup10398,0
isogroup10399,0
isogroup10400,0
isogroup10404,0
isogroup10405,0
isogroup10406,0
isogroup10407,0
isogroup10410,0
isogroup10411,0
isogroup10412,0
isogroup10413,0
isogroup10414,0
isogroup10415,0
isogroup10416,0
isogroup10417,0
isogroup10419,0
isogroup10422,0
isogroup10427,0
isogroup1043,0
isogroup10431,0
isogroup10432,0
isogroup10434,0
isogroup10435,0
isogroup10438,0
isogroup10439,0
isogroup10440,0
isogroup10441,0
isogroup10442,0
isogroup10449,0
isogroup10451,0
isogroup10452,0
isogroup10456,0
isogroup10460,0
isogroup10461,0
isogroup10462,0
isogroup10463,0
isogroup10468,0
isogroup10474,0
isogroup1048,0
isogroup10481,0
isogroup10483,0
isogroup10484,0
isogroup10485,0
isogroup10486,0
isogroup1049,0
isogroup10490,0
isogroup10493,0
isogroup10494,0
isogroup10495,0
isogroup10497,0
isogroup10498,0
isogroup10499,0
isogroup10500,0
isogroup10503,0
isogroup10505,0
isogroup10507,0
isogroup10511,0
isogroup10513,0
isogroup10514,0
isogroup10517,0
isogroup10519,0
isogroup1052,0
isogroup10520,0
isogroup10521,0
isogroup10522,0
isogroup10527,0
isogroup10528,0
isogroup10529,0
isogroup1053,0
isogroup10530,0
isogroup10533,0
isogroup10534,0
isogroup10535,0
isogroup10537,0
isogroup10539,0
isogroup10541,0
isogroup10545,0
isogroup10550,0
isogroup10553,0
isogroup10554,0
isogroup10559,0
isogroup10564,0
isogroup10565,0
isogroup10571,0
isogroup10573,0
isogroup10574,0
isogroup10575,0
isogroup10577,0
isogroup10579,0
isogroup10580,0
isogroup10581,0
isogroup10583,0
isogroup10584,0
isogroup10588,0
isogroup10591,0.435197561114343
isogroup10592,0
isogroup10593,0
isogroup10594,0
isogroup10596,0
isogroup106,0
isogroup10606,0
isogroup10613,0
isogroup10615,0
isogroup10618,0
isogroup10622,0
isogroup10624,0
isogroup10625,0
isogroup10626,0
isogroup10628,0
isogroup10631,0
isogroup10632,0
isogroup10633,0
isogroup10635,0
isogroup10639,0
isogroup10641,0
isogroup10642,0
isogroup10644,0
isogroup10645,0
isogroup10648,0
isogroup10649,0
isogroup10651,0
isogroup10652,0
isogroup10655,0
isogroup10658,0
isogroup1066,0
isogroup10660,0
isogroup10662,0
isogroup10664,0
isogroup10665,0
isogroup10667,0
isogroup10668,0
isogroup10672,0
isogroup10673,0
isogroup10676,0
isogroup10678,0
isogroup10679,0
isogroup10680,0.771213524596403
isogroup10681,0
isogroup10683,0
isogroup10684,0
isogroup10685,0
isogroup10686,0
isogroup10692,0
isogroup10694,0
isogroup10695,0
isogroup10698,0
isogroup10699,0
isogroup10700,0
isogroup10702,0
isogroup10703,0
isogroup10706,0
isogroup10707,0
isogroup10711,0
isogroup10714,0.422101993407389
isogroup10715,0
isogroup10718,0
isogroup10720,0
isogroup10721,0
isogroup10723,0
isogroup10727,0
isogroup10729,0
isogroup10732,0
isogroup10734,0
isogroup10737,0
isogroup10740,0
isogroup10744,0
isogroup10745,0
isogroup10750,0
isogroup10752,0
isogroup10753,0
isogroup10754,0
isogroup10756,0
isogroup10758,0
isogroup10760,0
isogroup10762,0
isogroup10763,0
isogroup10764,0
isogroup10775,0
isogroup10782,0
isogroup10783,0
isogroup10788,0
isogroup10791,0
isogroup10792,0
isogroup10793,0
isogroup10794,0
isogroup10795,0
isogroup10798,0
isogroup10800,0
isogroup10801,0
isogroup10804,0
isogroup10805,0
isogroup10806,0
isogroup10807,0
isogroup10809,0
isogroup10810,0
isogroup10811,0
isogroup10812,0
isogroup10817,0
isogroup10819,0
isogroup10820,0
isogroup10823,0
isogroup10826,0
isogroup10827,0
isogroup10828,0
isogroup10830,0
isogroup10833,0
isogroup10835,0
isogroup10838,0
isogroup10840,0
isogroup10843,0
isogroup10844,0
isogroup10845,0
isogroup10846,0
isogroup10847,0
isogroup10850,0
isogroup10851,0
isogroup10854,0
isogroup10855,0
isogroup10858,0
isogroup10859,0
isogroup10860,0
isogroup10861,0
isogroup10864,0
isogroup10865,0
isogroup10866,0
isogroup10869,0
isogroup10870,0
isogroup10873,0
isogroup10874,0
isogroup10875,0
isogroup10879,0
isogroup10881,0
isogroup10882,0
isogroup10886,0
isogroup10887,0
isogroup10889,0
isogroup1089,0
isogroup10890,0
isogroup10891,0
isogroup10894,0
isogroup10895,0
isogroup10897,0
isogroup10898,0
isogroup10899,0
isogroup109,0
isogroup10901,0
isogroup10903,0
isogroup10904,0
isogroup10905,0
isogroup10909,0
isogroup10911,0
isogroup10914,0
isogroup10916,0
isogroup10917,0
isogroup10918,0
isogroup10919,0
isogroup10920,0
isogroup10921,0
isogroup10923,0
isogroup10925,0
isogroup10927,0
isogroup10928,0
isogroup10930,0
isogroup10931,0
isogroup10933,0
isogroup10934,0
isogroup10936,0
isogroup10939,0
isogroup1094,0
isogroup10940,0
isogroup10943,0
isogroup10945,0
isogroup10947,0
isogroup10951,0
isogroup10958,0
isogroup10960,0
isogroup10961,0
isogroup10963,0
isogroup10965,0
isogroup10966,0
isogroup10967,0
isogroup10968,0
isogroup10969,0
isogroup10973,0
isogroup10974,0
isogroup10979,0
isogroup10988,0
isogroup10989,0
isogroup10991,0
isogroup10992,0
isogroup10993,0
isogroup10997,0
isogroup11001,0
isogroup11002,0
isogroup11004,0
isogroup11005,0
isogroup11007,0
isogroup11008,0
isogroup11009,0
isogroup11010,0
isogroup11011,0
isogroup11013,0
isogroup11015,0
isogroup11019,0
isogroup11021,0
isogroup11022,0
isogroup11024,0
isogroup11025,0
isogroup11026,0
isogroup11028,0
isogroup11029,0
isogroup11031,0
isogroup11033,0
isogroup11034,0
isogroup11036,0
isogroup11037,0
isogroup11038,0
isogroup11040,0
isogroup11041,0
isogroup11044,0
isogroup11046,0
isogroup1105,0
isogroup11050,0
isogroup11052,0
isogroup11055,0
isogroup11058,0
isogroup11059,0
isogroup11060,0
isogroup11061,0
isogroup11062,0
isogroup11066,0
isogroup11067,0
isogroup11068,0
isogroup11069,0
isogroup11073,0
isogroup11074,0
isogroup11078,0
isogroup1108,0
isogroup11082,0
isogroup11084,0
isogroup11085,0
isogroup11089,0
isogroup1109,0
isogroup11095,0
isogroup111,0
isogroup11100,0
isogroup11101,0.595830127800822
isogroup11103,0
isogroup11105,0
isogroup11106,0
isogroup11111,0
isogroup11112,0
isogroup11115,0
isogroup11116,0
isogroup11117,0
isogroup11118,0
isogroup1112,0
isogroup11122,0
isogroup11125,0
isogroup11127,0
isogroup11128,0
isogroup11130,0
isogroup11131,0
isogroup11134,0
isogroup11136,0
isogroup11137,0
isogroup11139,0
isogroup11143,0
isogroup11145,0
isogroup11146,0
isogroup11147,0
isogroup1115,0
isogroup11150,0
isogroup11156,0
isogroup11160,0
isogroup11166,0
isogroup11168,0
isogroup1117,0
isogroup11172,0
isogroup11173,0
isogroup11175,0
isogroup11179,0
isogroup11183,0
isogroup11184,0
isogroup11186,0
isogroup11187,0
isogroup11190,0
isogroup11192,0
isogroup11193,0
isogroup11194,0
isogroup11200,0
isogroup11206,0
isogroup11210,0
isogroup11211,0
isogroup11218,0
