"","pc1vis","pc1ac","pc2vis","pc2ac","pc3ac","gPC1b","Size_mm","Aresp","Alateraliz","AReacDist_cm","ALatency_ms","AResp_dist_cm","AResp_spd_mms","AResp_MX_spd","At2mxspd_s","Aresp_dur_s","Amx_accel","At2mxaccel","VResp_dist_cm","VResp_spd_mms","VMeanAngSpd","VMeanMeander","VMeanMobility","RDistanceMoved_cm","RMeanSpeed","RMeanAngularSpd","RMeanMeander","RMeanMobility","Time_from_Last_min"
"101",-0.44,NA,-0.11,NA,NA,-0.180672187221277,10.705,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.52,2.54,590.97,-170.2,48.07,8.98,0.44,536.78,1604.84,18.18,166
"102",-0.68,NA,-0.4,NA,NA,-0.20498464917684,11.364,1,1,7.08,854.2,NA,NA,NA,NA,NA,NA,NA,4.59,0.96,78.87,-457.92,24.41,45.99,1.38,16.67,-509.79,25.6,161
"105",-0.24,NA,-0.93,NA,NA,-0.194566677664506,10.835,1,1,8.87,825,NA,NA,NA,NA,NA,NA,NA,9.23,2.45,15.84,389.52,49.08,18.7,0.56,-11.91,300.74,14.51,149
"106",1.15,NA,1.2,NA,NA,-0.187339333850839,9.611,1,1,4.42,908.3,NA,NA,NA,NA,NA,NA,NA,2.73,8.18,30.06,-48.14,82.03,20.53,0.61,-6.29,-204.81,12.97,142
"107",-0.18,NA,-0.24,NA,NA,-0.19239969901535,11.504,1,0,3.09,916.7,NA,NA,NA,NA,NA,NA,NA,5.96,3.03,-18.04,65.28,43.05,22.78,0.69,-39.47,-1686.17,26.25,138
"108",0.47,NA,1.06,NA,NA,-0.0891004531360021,11.202,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.83,6.05,196.74,159.43,67.95,71.05,2.12,52.24,73.21,33.7,133
"109",-1.17,NA,0.67,NA,NA,-0.0819916720607251,11.69,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.44,1.15,422.06,832.69,30.11,43.91,1.32,-68.15,2524.68,30.18,129
"110",-0.02,NA,-0.5,NA,NA,-0.0493277007957252,10.914,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.08,2.22,-197.27,-240.97,46.49,26.63,0.9,-26.1,-352.89,28.88,125
"112",-0.36,NA,0.73,NA,NA,0.0670382225634373,8.975,1,1,8.27,1000,NA,NA,NA,NA,NA,NA,NA,1.72,2.86,176.62,-207.65,37.94,12.25,0.37,81.17,1033.78,12.78,116
"113",1.35,NA,-0.15,NA,NA,0.0496257144690901,10.116,1,0,2.28,920.8,NA,NA,NA,NA,NA,NA,NA,8.19,9.09,-129.55,42.25,80.32,6.1,0.18,21.73,-2453.87,8.68,109
"116",-0.13,NA,0.3,NA,NA,-0.176830604385868,11.87,1,1,8.28,887.5,NA,NA,NA,NA,NA,NA,NA,3.63,3.03,-175.42,13.39,41.16,9.78,0.3,5.36,-6086.74,12.76,95
"117",-0.85,NA,-0.05,NA,NA,-0.1425977457027,10.191,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.85,2.5,413.88,1303.29,44.04,39.02,1.17,-52.98,-441.49,29.55,91
"119",-0.09,NA,-1.91,NA,NA,-0.145134249901503,10.152,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.05,3.09,450.51,-862.24,44.2,16.61,0.5,49.79,-43.52,16.17,86
"11",1.09,NA,0.34,NA,NA,-0.0343356282335057,12.537,1,1,4.53,908.3,NA,NA,NA,NA,NA,NA,NA,5.95,7.44,76.39,-20.07,84.28,37.14,1.12,-48.81,-1740.61,16.9,301
"123",0.51,NA,-2.74,NA,NA,-0.197996302054495,11,1,1,8.54,866.7,NA,NA,NA,NA,NA,NA,NA,15.98,4.84,138,-310.28,62.45,13.59,0.41,97.75,1165.79,15.25,72
"124",-0.83,NA,0.21,NA,NA,-0.113890915233116,10.759,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,1.06,310.78,360.46,37.53,47.24,1.62,83.17,504.43,38.17,65
"126",-1.53,NA,0.85,NA,NA,0.0760288519827283,10.053,1,0,3.02,987.5,NA,NA,NA,NA,NA,NA,NA,3.82,1.47,694.18,1308.64,24.58,38.39,1.43,163.75,-348.53,25.16,59
"129",-0.23,NA,-0.68,NA,NA,0.0774313580009669,10.614,1,0,0.91,975,NA,NA,NA,NA,NA,NA,NA,5.03,1.02,-41.06,-909.91,37.05,54.81,1.66,4.38,-250.93,34.73,46
"12",1.16,NA,1.33,NA,NA,0.000324359299556752,12.356,1,1,2.13,929.2,NA,NA,NA,NA,NA,NA,NA,2.52,8.38,138.06,-19.07,85.33,40.37,1.24,-11.07,-266.07,22.4,297
"143",NA,-0.47,NA,0.83,-1.04,0.0897573470543296,11.31,1,1,NA,8.3,1.33,23.34,67.65,0.004,0.054,3236.2,0.021,NA,NA,NA,NA,NA,26.72,0.82,-39.8,-63.73,49.66,172
"145",NA,0.23,NA,-0.38,0.42,0.0963899510269299,10.894,1,0,NA,20.8,1.62,34.93,69.61,0.042,0.046,12768.7,0.042,NA,NA,NA,NA,NA,27.99,0.84,-37.42,-1004.9,25.25,165
"149",NA,0.98,NA,-1.28,1.83,0.0683113172139687,12.007,1,0,NA,8.3,3.59,17.48,73.38,0.013,0.204,12768.7,0.038,NA,NA,NA,NA,NA,11.37,0.34,5.58,-1333.61,20.76,149
"150",NA,0.24,NA,0.16,-0.45,0.0323621779910594,13.072,1,1,NA,8.3,2.31,20.9,67.65,0.004,0.104,10260,0.038,NA,NA,NA,NA,NA,6.56,0.2,98.14,868.28,11.87,145
"156",NA,-0.35,NA,0.64,-1.7,0.0776655794296502,11.622,1,1,NA,4.2,1.32,24.34,51.88,0.004,0.054,5568.7,0.038,NA,NA,NA,NA,NA,11.2,0.34,25.93,1425.71,24.15,122
