"sequence","Network_annotation","EggNOG_annotation"
"isogroup10","isogroup10|black kME=0.46|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup10003","isogroup10003|green kME=0.3|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup10014","isogroup10014|darkgrey kME=0.45|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10020","isogroup10020|darkmagenta kME=0.79|Associations:(R2=-0.32) max speed in response to acoustic stimulus.","complexin 4"
"isogroup10022","isogroup10022|skyblue kME=0.47|Associations:(R2=-0.38) response duration to acoustic stimulus.","potassium voltage-gated channel, shaker-related subfamily, beta member 3"
"isogroup10023","isogroup10023|darkred kME=0.27|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10031","isogroup10031|skyblue kME=0.35|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup10033","isogroup10033|darkorange kME=0.28|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup10057","isogroup10057|green kME=0.82|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","ribosomal protein L22"
"isogroup10062","isogroup10062|brown kME=0.45|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup10066","isogroup10066|black kME=0.47|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup10075","isogroup10075|orangered4 kME=0.46|Associations:(R2=+0.3) time between assay and RNA collection; (R2=-0.4) response duration to acoustic stimulus; (R2=-0.34) max speed in response to acoustic stimulus.",NA
"isogroup10079","isogroup10079|darkorange kME=0.33|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","differentially expressed in FDCP 8 homolog (mouse)"
"isogroup10084","isogroup10084|red kME=0.36|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"isogroup1009","isogroup1009|green kME=0.35|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.",NA
"isogroup10093","isogroup10093|darkorange kME=0.3|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup10100","isogroup10100|skyblue kME=0.4|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup10106","isogroup10106|skyblue kME=0.32|Associations:(R2=-0.38) response duration to acoustic stimulus.",NA
"isogroup10109","isogroup10109|red kME=0.32|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",NA
"isogroup10116","isogroup10116|skyblue kME=0.33|Associations:(R2=-0.38) response duration to acoustic stimulus.","spire homolog 1 (Drosophila)"
"isogroup10123","isogroup10123|black kME=0.47|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup10129","isogroup10129|darkred kME=0.57|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup1013","isogroup1013|black kME=0.74|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup10130","isogroup10130|darkgrey kME=0.43|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10144","isogroup10144|darkorange kME=0.38|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","distal-less homeobox 5"
"isogroup10146","isogroup10146|darkred kME=0.43|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10154","isogroup10154|darkgreen kME=0.41|Associations:(R2=+0.43) time to max acceleration in response to acoustic stimulus; (R2=-0.37) mean meandering in response to visual stimulus; (R2=-0.33) response duration to acoustic stimulus; (R2=-0.47) max speed in response to acoustic stimulus.","Meis homeobox 2"
"isogroup10174","isogroup10174|greenyellow kME=0.39|Associations:(R2=-0.47) distance traveled in response to visual stimulus.","piezo-type mechanosensitive ion channel component"
"isogroup10184","isogroup10184|darkorange kME=0.43|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.",NA
"isogroup10187","isogroup10187|blue kME=0.46|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.",NA
"isogroup10191","isogroup10191|red kME=0.6|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.",""
"isogroup10192","isogroup10192|green kME=0.83|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","ribosomal protein L37a"
"isogroup10198","isogroup10198|black kME=0.47|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.","apolipoprotein B (including Ag(x) antigen)"
"isogroup10204","isogroup10204|darkorange kME=0.41|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","FSHD region gene 1"
"isogroup10205","isogroup10205|darkred kME=0.44|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10206","isogroup10206|brown kME=0.79|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Guanine nucleotide-binding proteins (G proteins) are involved as a modulator or transducer in various transmembrane signaling systems. The beta and gamma chains are required for the GTPase activity, for replacement of GDP by GTP, and for G protein- effector interaction (By similarity)"
"isogroup10207","isogroup10207|red kME=0.83|Associations:(R2=+0.34) time to max acceleration in response to acoustic stimulus; (R2=+0.3) response latency.","carboxypeptidase O"
"isogroup10208","isogroup10208|darkorange kME=0.47|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","glutaredoxin (thioltransferase)"
"isogroup10210","isogroup10210|blue kME=0.41|Associations:(R2=+0.58) time between assay and RNA collection; (R2=+0.49) response latency.","Rab9 effector protein with kelch motifs"
"isogroup10217","isogroup10217|black kME=0.33|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup10218","isogroup10218|brown kME=0.54|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup10219","isogroup10219|cyan kME=0.54|Associations:(R2=+0.45) distance between visual stimulus and larva at response initiation; (R2=+0.32) mean speed in response to visual stimulus; (R2=+0.39) max acceleration in response to acoustic stimulus.",NA
"isogroup10222","isogroup10222|brown kME=0.52|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup10224","isogroup10224|darkred kME=0.29|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10232","isogroup10232|green kME=0.3|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","FUN14 family"
"isogroup10235","isogroup10235|green kME=0.65|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","ribosomal protein S27a"
"isogroup10239","isogroup10239|skyblue kME=0.48|Associations:(R2=-0.38) response duration to acoustic stimulus.","RAR-related orphan receptor B"
"isogroup10241","isogroup10241|darkorange kME=0.36|Associations:(R2=+0.32) distance between visual stimulus and larva at response initiation; (R2=+0.33) distance traveled in response to visual stimulus; (R2=-0.31) routine swimming distance traveled; (R2=-0.31) routine swimming mean speed; (R2=-0.28) routine swimming mean meandering.","CDC42 effector protein (Rho GTPase binding)"
"isogroup10248","isogroup10248|darkred kME=0.34|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.","dedicator of cytokinesis 10"
"isogroup10249","isogroup10249|black kME=0.38|Associations:(R2=+0.69) time between assay and RNA collection; (R2=+0.29) mean speed in response to visual stimulus.",NA
"isogroup10252","isogroup10252|darkred kME=0.42|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup10253","isogroup10253|darkgrey kME=0.53|Associations:(R2=+0.43) response latency; (R2=-0.41) time to max acceleration in response to acoustic stimulus.","epithelial membrane protein 1"
"isogroup10261","isogroup10261|brown kME=0.33|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.","Anaphylotoxin-like domain"
"isogroup10266","isogroup10266|darkred kME=0.34|Associations:(R2=+0.35) routine swimming distance traveled; (R2=+0.37) routine swimming mean speed; (R2=-0.36) time to max acceleration in response to acoustic stimulus.",NA
"isogroup1027","isogroup1027|saddlebrown kME=0.46|Associations:(R2=-0.28) distance between visual stimulus and larva at response initiation; (R2=-0.3) max speed in response to acoustic stimulus.","Lens epithelium-derived growth factor (LEDGF)"
"isogroup10270","isogroup10270|green kME=0.3|Associations:(R2=+0.3) time to max acceleration in response to acoustic stimulus; (R2=-0.34) routine swimming distance traveled; (R2=-0.35) routine swimming mean speed.","family with sequence similarity 189, member A1"
"isogroup10274","isogroup10274|brown kME=0.63|Associations:(R2=-0.71) time between assay and RNA collection; (R2=-0.54) response latency; (R2=-0.28) mean speed in response to visual stimulus.",NA
"isogroup10275","isogroup10275|greenyellow kME=0.35|Associations:(R2=-0.47) distance traveled in response to visual stimulus.",""
