V1,annots
isogroup12356,isogroup12356|black kME=0.91|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31045,isogroup31045|black kME=0.89|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29438,isogroup29438|black kME=0.89|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup20596,isogroup20596|black kME=0.84|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32914,isogroup32914|black kME=0.84|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27483,isogroup27483|black kME=0.82|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29178,isogroup29178|black kME=0.82|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup1144,isogroup1144|black kME=0.81|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup28623,isogroup28623|black kME=0.8|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup3828,isogroup3828|black kME=0.8|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25610,isogroup25610|black kME=0.79|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31691,isogroup31691|black kME=0.78|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup27232,isogroup27232|black kME=0.77|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup786,isogroup786|black kME=0.77|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32498,isogroup32498|black kME=0.76|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup80,isogroup80|black kME=0.76|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32210,isogroup32210|black kME=0.75|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup1013,isogroup1013|black kME=0.74|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31417,isogroup31417|black kME=0.74|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup19940,isogroup19940|black kME=0.73|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup31256,isogroup31256|black kME=0.72|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup22510,isogroup22510|black kME=0.72|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup24972,isogroup24972|black kME=0.72|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup33018,isogroup33018|black kME=0.72|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup3434,isogroup3434|black kME=0.72|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29341,isogroup29341|black kME=0.72|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup8256,isogroup8256|black kME=0.71|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup24548,isogroup24548|black kME=0.71|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup13264,isogroup13264|black kME=0.7|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup23943,isogroup23943|black kME=0.7|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup18898,isogroup18898|black kME=0.7|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup23615,isogroup23615|black kME=0.7|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup30318,isogroup30318|black kME=0.69|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32423,isogroup32423|black kME=0.68|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup7969,isogroup7969|black kME=0.68|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32158,isogroup32158|black kME=0.68|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup20189,isogroup20189|black kME=0.68|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup24241,isogroup24241|black kME=0.68|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup13570,isogroup13570|black kME=0.67|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup14149,isogroup14149|black kME=0.67|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32366,isogroup32366|black kME=0.67|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup35018,isogroup35018|black kME=0.67|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup25814,isogroup25814|black kME=0.67|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32608,isogroup32608|black kME=0.66|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup22281,isogroup22281|black kME=0.66|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup29991,isogroup29991|black kME=0.66|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup32973,isogroup32973|black kME=0.65|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup11529,isogroup11529|black kME=0.65|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup33734,isogroup33734|black kME=0.65|Associations:(R2=+0.29) mean speed in response to visual stimulus.
isogroup12045,isogroup12045|black kME=0.65|Associations:(R2=+0.29) mean speed in response to visual stimulus.
